,target,feature,weight
0,2,עקיבה,3.890509476407542
1,2,אעפ,3.60910517470905
2,2,חייב,3.4017642251745093
3,2,אפילו,3.3666271554948186
4,2,וחכא,3.3599567818520204
5,2,בש,3.2368179383617606
6,2,רש,3.100447573152345
7,2,רא,3.063418724068473
8,2,בדא,2.8994103043573225
9,2,פירות,2.7406464107444464
10,2,הז,2.717190229560245
11,2,לחבירו,2.6397256096128197
12,2,טומאה,2.6147431944033683
13,2,רשבג,2.584599411604707
14,2,ור,2.5576010468467363
15,2,כולן,2.449331032092692
16,2,חבירו,2.391424349006746
17,2,לאכול,2.2772391636564357
18,2,בד,2.2750683520710937
19,2,חומר,2.089293874498796
20,2,שנא,2.0403111157013547
21,2,רמ,2.039623993499947
22,2,אפי,2.036425165798195
23,2,וא,2.0203545933719806
24,2,אר,1.9804539026978991
25,2,ואחכ,1.972139794015136
26,2,חייבין,1.8944891343397525
27,2,חולין,1.7623419653709735
28,2,עג,1.7300148361841603
29,2,תל,1.6990270543938129
30,2,ביוט,1.6913384518150054
31,2,כוכבים,1.6709654796832276
32,2,בר,1.66151311605525
33,2,כולו,1.5626716046273166
34,2,טומאת,1.3479237193944347
35,2,הטומאה,1.3106398809436866
36,2,חושש,1.221337949755251
37,2,עמ,1.1651474869814797
38,2,מקודשת,0.8948519378179333
39,2,מותר,0.8428090098752795
40,2,חיבור,0.8330618939797384
41,2,רע,0.8080656011707744
42,2,בלבד,0.7932190668638915
43,2,יוסי,0.6684414826692441
44,2,יהודה,0.6259255539638896
45,2,וגו,0.5965425572098101
46,2,עליהן,0.5327901738146209
47,2,אחרים,0.5310826771625967
48,2,אותן,0.5282426630535068
49,2,ובין,0.5143131512074256
50,2,אוכלין,0.46756243945208353
51,2,הימנו,0.44668465427186804
52,2,לאו,0.4065442903299624
53,2,בהן,0.34694199471313136
54,2,אין,0.2994862800853036
55,2,מהן,0.2989923083634351
56,2,מה,0.28163425618249804
57,2,אומר,0.24811759984018375
58,2,אחר,0.22007127231815413
59,2,משם,0.2029256711927414
60,2,משום,0.1939720264035947
61,2,זו,0.17599196477162263
62,2,ואין,0.17531019435663023
63,2,אמר,0.17226163878885054
64,2,שלא,0.16303716985948435
65,2,אותו,0.13467427253115746
66,2,דבר,0.11924102303892609
67,2,עליו,0.11191656738292723
68,2,הרי,0.10535999724847536
69,2,מפני,0.10341145885508894
70,2,ישראל,0.09291036238651702
71,2,אלא,0.08513855826902496
72,2,בה,0.08467688637697125
73,2,בין,0.0729201464988789
74,2,של,0.05445111568412725
75,2,כל,0.04550982227744154
76,2,בן,0.035654925431175606
77,2,שאין,0.013454995763933416
78,2,לו,0.013049576967880245
79,2,הוא,0.0014158458482533462
80,2,היה,-0.006206784787895664
81,2,זה,-0.01345709488633374
82,2,לא,-0.01686173721917922
83,2,הן,-0.03331359798291938
84,2,בו,-0.039171934386631295
85,2,את,-0.046314927353938426
86,2,על,-0.0608782118019045
87,2,אם,-0.13317538796697462
88,2,שמאי,-0.1921870443963662
89,2,הלל,-0.46212718280281573
90,2,ובית,-0.6206001425442876
91,2,<BIAS>,-1.0748257886289634
92,2,רבי,-1.2023050688928159
93,2,הטמאה,-1.6138506708415956
94,2,עקיבא,-1.9670180390605845
95,2,פרות,-1.9775242814123672
96,2,כלן,-2.229530124946149
97,2,מתר,-2.4958711142641503
98,2,חיבין,-2.5543587191190436
99,2,אפלו,-2.907455567472045
100,2,חיב,-3.09604494201231
